"district","grade","subject","adv_per_14","ni_per_14","pro_per_14","total_perf_14","wf_per_14"
"Andover","05","s",40,20,36,533,4
"Andover","06","e",27,14,55,466,4
"Andover","06","m",45,18,31,462,7
"Andover","07","e",29,7,61,522,3
"Andover","07","m",28,18,45,471,8
"Andover","08","e",26,4,69,404,1
"Andover","08","m",31,18,42,437,8
"Andover","08","s",6,35,53,480,5
"Andover","10","e",63,1,34,450,2
"Andover","10","m",77,6,15,452,2
"Andover","10","s",40,16,43,436,2
"Andover","AL","e",31,13,54,3336,3
"Andover","AL","m",45,16,34,3225,6
"Andover","AL","s",29,24,44,1449,4
"Arlington","03","e",27,17,53,447,4
"Arlington","03","m",48,14,35,449,3
"Arlington","04","e",32,19,45,424,4
"Arlington","04","m",36,23,37,423,3
"Arlington","05","e",33,14,50,420,3
"Arlington","05","m",43,14,35,421,9
"Arlington","05","s",40,20,36,422,5
"Arlington","06","e",29,14,53,355,4
"Arlington","06","m",48,16,31,353,5
"Arlington","07","e",30,10,58,384,2
"Arlington","07","m",25,22,41,387,12
"Arlington","08","e",37,4,56,321,3
"Arlington","08","m",40,18,35,321,7
"Arlington","08","s",12,29,51,321,8
"Arlington","10","e",72,2,25,310,2
"Arlington","10","m",78,4,16,306,2
"Arlington","10","s",48,13,38,296,1
"Arlington","AL","e",36,12,49,2661,3
"Arlington","AL","m",44,16,34,2660,6
"Arlington","AL","s",34,21,41,1039,5
"Ashburnham-Westminster","03","e",10,36,47,176,6
"Ashburnham-Westminster","03","m",26,26,41,176,7
"Ashburnham-Westminster","04","e",16,30,47,152,7
"Ashburnham-Westminster","04","m",9,49,33,151,9
"Ashburnham-Westminster","05","e",10,26,58,183,7
"Ashburnham-Westminster","05","m",30,22,40,183,7
"Ashburnham-Westminster","05","s",24,33,38,183,5
"Ashburnham-Westminster","06","e",13,25,56,178,6
"Ashburnham-Westminster","06","m",27,25,38,178,10
"Ashburnham-Westminster","07","e",13,20,63,184,5
"Ashburnham-Westminster","07","m",13,30,39,184,18
"Ashburnham-Westminster","08","e",12,9,76,210,2
"Ashburnham-Westminster","08","m",14,33,36,209,17
"Ashburnham-Westminster","08","s",6,33,55,208,6
"Ashburnham-Westminster","10","e",47,3,48,172,3
"Ashburnham-Westminster","10","m",49,14,34,173,3
"Ashburnham-Westminster","10","s",30,16,51,164,3
"Ashburnham-Westminster","AL","e",17,21,57,1255,5
"Ashburnham-Westminster","AL","m",24,28,37,1254,11
"Ashburnham-Westminster","AL","s",19,28,48,555,5
"Ashland","03","e",13,24,53,185,10
"Ashland","03","m",34,19,37,185,10
"Ashland","04","e",7,40,45,209,7
"Ashland","04","m",20,42,29,210,10
"Ashland","05","e",14,29,52,220,5
"Ashland","05","m",32,24,33,221,12
"Ashland","05","s",14,49,32,221,5
"Ashland","06","e",21,16,59,196,3
"Ashland","06","m",45,15,29,197,11
"Ashland","07","e",12,16,70,172,2
"Ashland","07","m",28,24,37,172,12
"Ashland","08","e",26,10,63,178,1
"Ashland","08","m",29,21,39,180,11
"Ashland","08","s",9,29,52,180,9
"Ashland","10","e",63,2,32,186,3
"Ashland","10","m",79,3,15,188,4
"Ashland","10","s",42,13,42,180,3
"Ashland","AL","e",22,20,53,1346,4
"Ashland","AL","m",38,21,31,1353,10
"Ashland","AL","s",21,32,41,581,6
"Assabet Valley Regional Vocational Technical","10","e",15,13,71,262,2
"Assabet Valley Regional Vocational Technical","10","m",29,25,38,265,7
"Assabet Valley Regional Vocational Technical","10","s",21,25,50,243,5
"Assabet Valley Regional Vocational Technical","AL","e",15,13,71,262,2
"Assabet Valley Regional Vocational Technical","AL","m",29,25,38,265,7
"Assabet Valley Regional Vocational Technical","AL","s",21,25,50,243,5
"Athol-Royalston","03","e",1,44,38,102,17
"Athol-Royalston","03","m",4,32,31,101,34
"Athol-Royalston","04","e",0,50,32,113,18
"Athol-Royalston","04","m",4,50,25,113,20
"Athol-Royalston","05","e",1,44,33,115,22
"Athol-Royalston","05","m",17,31,22,115,30
"Athol-Royalston","05","s",9,43,27,115,22
"Athol-Royalston","06","e",3,42,36,119,18
"Athol-Royalston","06","m",14,37,26,118,22
"Athol-Royalston","07","e",2,38,49,99,10
"Athol-Royalston","07","m",2,39,23,99,35
"Athol-Royalston","08","e",3,21,61,120,15
"Athol-Royalston","08","m",3,43,18,122,36
"Athol-Royalston","08","s",2,52,24,121,21
"Athol-Royalston","10","e",22,12,56,98,9
"Athol-Royalston","10","m",31,23,30,94,16
"Athol-Royalston","10","s",19,31,38,90,12
