"district","grade","subject","adv_per_14","ni_per_14","pro_per_14","total_perf_14","wf_per_14"
"Mashpee","06","m",27,27,32,128,14
"Mashpee","07","e",7,24,58,139,12
"Mashpee","07","m",13,30,27,139,29
"Mashpee","08","e",8,12,72,127,9
"Mashpee","08","m",17,23,35,126,25
"Mashpee","08","s",3,50,34,126,13
"Mashpee","10","e",39,7,51,101,3
"Mashpee","10","m",44,20,32,100,4
"Mashpee","10","s",14,29,53,95,4
"Mashpee","AL","e",13,24,55,917,8
"Mashpee","AL","m",25,24,35,916,15
"Mashpee","AL","s",18,34,39,366,9
"Massachusetts Virtual Academy at Greenfield","03","e",0,48,41,29,10
"Massachusetts Virtual Academy at Greenfield","03","m",14,24,17,29,45
"Massachusetts Virtual Academy at Greenfield","04","e",0,43,30,37,27
"Massachusetts Virtual Academy at Greenfield","04","m",3,44,21,39,33
"Massachusetts Virtual Academy at Greenfield","05","e",3,31,48,29,17
"Massachusetts Virtual Academy at Greenfield","05","m",8,31,33,36,28
"Massachusetts Virtual Academy at Greenfield","05","s",8,42,31,36,19
"Massachusetts Virtual Academy at Greenfield","06","e",3,38,51,37,8
"Massachusetts Virtual Academy at Greenfield","06","m",24,32,24,34,21
"Massachusetts Virtual Academy at Greenfield","07","e",4,31,62,52,4
"Massachusetts Virtual Academy at Greenfield","07","m",10,30,28,50,32
"Massachusetts Virtual Academy at Greenfield","08","e",7,14,71,56,7
"Massachusetts Virtual Academy at Greenfield","08","m",9,26,25,69,41
"Massachusetts Virtual Academy at Greenfield","08","s",4,41,36,70,19
"Massachusetts Virtual Academy at Greenfield","10","e",25,7,68,28,0
"Massachusetts Virtual Academy at Greenfield","10","m",28,28,24,29,21
"Massachusetts Virtual Academy at Greenfield","AL","e",6,29,55,268,10
"Massachusetts Virtual Academy at Greenfield","AL","m",12,30,25,286,33
"Massachusetts Virtual Academy at Greenfield","AL","s",6,42,34,106,19
"MATCH Charter Public School (District)","06","e",6,33,50,78,10
"MATCH Charter Public School (District)","06","m",27,25,37,79,11
"MATCH Charter Public School (District)","07","e",2,24,73,84,1
"MATCH Charter Public School (District)","07","m",20,33,39,84,7
"MATCH Charter Public School (District)","08","e",2,15,82,82,1
"MATCH Charter Public School (District)","08","m",28,16,48,81,7
"MATCH Charter Public School (District)","08","s",2,64,28,81,5
"MATCH Charter Public School (District)","10","e",44,2,54,59,0
"MATCH Charter Public School (District)","10","m",83,2,14,59,2
"MATCH Charter Public School (District)","10","s",41,7,50,54,2
"MATCH Charter Public School (District)","AL","e",12,19,66,303,3
"MATCH Charter Public School (District)","AL","m",36,20,36,303,7
"MATCH Charter Public School (District)","AL","s",18,41,37,135,4
"MATCH Community Day Charter Public School (District)","03","e",2,39,53,51,6
"MATCH Community Day Charter Public School (District)","03","m",43,10,45,51,2
"MATCH Community Day Charter Public School (District)","04","e",21,21,56,48,2
"MATCH Community Day Charter Public School (District)","04","m",29,23,46,48,2
"MATCH Community Day Charter Public School (District)","AL","e",11,30,55,99,4
"MATCH Community Day Charter Public School (District)","AL","m",36,16,45,99,2
"Mattapoisett","03","e",13,25,61,72,1
"Mattapoisett","03","m",27,31,39,71,3
"Mattapoisett","04","e",21,26,48,80,5
"Mattapoisett","04","m",16,36,45,80,3
"Mattapoisett","05","e",30,14,51,76,4
"Mattapoisett","05","m",46,13,34,76,7
"Mattapoisett","05","s",33,21,43,75,3
"Mattapoisett","06","e",47,4,49,73,0
"Mattapoisett","06","m",53,8,37,73,1
"Mattapoisett","07","e",NA,NA,NA,1,NA
"Mattapoisett","07","m",NA,NA,NA,1,NA
"Mattapoisett","AL","e",27,18,52,302,3
"Mattapoisett","AL","m",35,22,39,301,4
"Mattapoisett","AL","s",33,21,43,75,3
"Maynard","03","e",10,34,51,96,4
"Maynard","03","m",12,38,40,95,11
"Maynard","04","e",13,32,41,134,13
"Maynard","04","m",13,41,29,135,17
"Maynard","05","e",16,31,44,121,9
"Maynard","05","m",21,37,20,122,22
"Maynard","05","s",11,40,34,121,16
"Maynard","06","e",14,19,61,108,6
"Maynard","06","m",13,38,35,109,15
"Maynard","07","e",1,25,69,108,5
"Maynard","07","m",14,23,38,107,24
"Maynard","08","e",15,17,61,105,7
"Maynard","08","m",16,26,27,105,31
"Maynard","08","s",3,50,30,105,16
"Maynard","10","e",37,16,46,81,1
"Maynard","10","m",54,16,20,80,10
"Maynard","10","s",29,28,38,72,6
"Maynard","AL","e",14,25,53,753,7
"Maynard","AL","m",19,32,30,753,19
"Maynard","AL","s",12,41,34,298,13
"Medfield","03","e",27,22,49,190,1
"Medfield","03","m",45,13,40,190,2
"Medfield","04","e",12,27,57,205,4
"Medfield","04","m",28,26,41,206,5
"Medfield","05","e",24,17,54,197,5
"Medfield","05","m",44,20,30,198,6
"Medfield","05","s",19,28,47,198,6
"Medfield","06","e",32,13,53,215,3
"Medfield","06","m",35,18,41,217,6
"Medfield","07","e",41,5,52,217,2
"Medfield","07","m",36,16,39,215,9
"Medfield","08","e",33,2,63,222,1
"Medfield","08","m",25,21,49,224,5
"Medfield","08","s",11,31,54,224,4
"Medfield","10","e",68,1,31,232,0
"Medfield","10","m",81,2,16,232,0
"Medfield","10","s",58,3,39,227,0
"Medfield","AL","e",35,12,51,1478,2
"Medfield","AL","m",42,16,36,1482,5
"Medfield","AL","s",30,20,47,649,3
"Medford","03","e",5,39,42,364,14
"Medford","03","m",14,31,36,362,18
"Medford","04","e",6,40,39,341,15
"Medford","04","m",11,52,22,344,15
"Medford","05","e",15,33,43,326,9
"Medford","05","m",19,32,30,327,20
"Medford","05","s",19,40,29,326,12
"Medford","06","e",8,27,51,301,13
"Medford","06","m",20,29,28,300,24
"Medford","07","e",5,25,62,364,7
"Medford","07","m",10,30,26,366,34
"Medford","08","e",10,16,65,376,9
"Medford","08","m",13,34,30,377,23
"Medford","08","s",5,36,40,376,19
"Medford","10","e",47,5,46,345,2
"Medford","10","m",56,11,28,342,5
"Medford","10","s",24,31,40,327,4
"Medford","AL","e",14,26,50,2417,10
"Medford","AL","m",20,31,29,2418,20
"Medford","AL","s",16,36,37,1029,12
"Medway","03","e",20,20,55,127,4
"Medway","03","m",48,15,34,168,3
"Medway","04","e",17,26,52,193,6
"Medway","04","m",34,29,32,194,5
"Medway","05","e",29,13,54,168,5
"Medway","05","m",54,10,31,168,5
"Medway","05","s",35,20,42,168,4
"Medway","06","e",20,19,58,177,3
"Medway","06","m",50,16,31,220,3
"Medway","07","e",17,7,75,199,2
"Medway","07","m",33,15,43,160,9
"Medway","08","e",22,5,70,214,3
"Medway","08","m",27,18,47,172,9
"Medway","08","s",5,35,52,213,8
"Medway","10","e",59,2,38,213,1
"Medway","10","m",66,9,23,213,2
"Medway","10","s",33,24,43,207,0
"Medway","AL","e",27,12,57,1291,3
"Medway","AL","m",45,16,34,1295,5
"Medway","AL","s",23,27,46,588,4
"Melrose","03","e",23,21,54,251,2
"Melrose","03","m",50,14,33,251,3
"Melrose","04","e",16,27,53,255,4
"Melrose","04","m",27,29,41,255,3
"Melrose","05","e",32,16,51,275,2
"Melrose","05","m",42,21,32,277,5
"Melrose","05","s",29,32,35,277,3
"Melrose","06","e",18,21,54,300,7
"Melrose","06","m",31,22,33,299,13
"Melrose","07","e",14,15,67,297,3
"Melrose","07","m",19,29,37,295,16
"Melrose","08","e",21,8,68,274,3
"Melrose","08","m",23,24,36,274,16
"Melrose","08","s",7,38,43,272,11
"Melrose","10","e",57,3,40,232,0
"Melrose","10","m",56,13,28,236,3
"Melrose","10","s",32,16,50,226,2
"Melrose","AL","e",25,16,56,1884,3
"Melrose","AL","m",35,22,34,1887,9
"Melrose","AL","s",22,30,42,775,6
"Mendon-Upton","03","e",19,22,55,179,4
"Mendon-Upton","03","m",47,15,34,178,4
"Mendon-Upton","04","e",18,27,50,197,4
"Mendon-Upton","04","m",29,23,43,198,4
"Mendon-Upton","05","e",17,24,56,195,3
"Mendon-Upton","05","m",22,31,37,195,10
"Mendon-Upton","05","s",22,30,43,195,6
"Mendon-Upton","06","e",21,23,53,205,3
"Mendon-Upton","06","m",25,25,37,204,12
"Mendon-Upton","07","e",17,11,69,214,3
"Mendon-Upton","07","m",23,24,39,214,14
"Mendon-Upton","08","e",16,9,74,199,2
"Mendon-Upton","08","m",19,26,47,198,8
"Mendon-Upton","08","s",4,33,58,199,5
"Mendon-Upton","10","e",57,3,38,167,2
"Mendon-Upton","10","m",66,7,23,167,5
"Mendon-Upton","10","s",45,12,39,162,4
"Mendon-Upton","AL","e",23,17,57,1356,3
"Mendon-Upton","AL","m",32,22,38,1354,8
"Mendon-Upton","AL","s",22,26,47,556,5
"Methuen","03","e",5,42,36,548,16
"Methuen","03","m",21,27,30,551,21
"Methuen","04","e",4,46,34,560,16
"Methuen","04","m",17,42,26,563,14
"Methuen","05","e",10,34,40,561,16
"Methuen","05","m",22,29,29,561,20
"Methuen","05","s",7,43,27,561,23
"Methuen","06","e",7,30,49,554,14
"Methuen","06","m",20,31,29,555,20
"Methuen","07","e",3,30,58,592,9
"Methuen","07","m",10,29,26,594,35
"Methuen","08","e",8,20,61,597,10
"Methuen","08","m",12,36,27,593,25
"Methuen","08","s",1,50,22,594,28
"Methuen","10","e",23,11,62,456,4
"Methuen","10","m",35,22,29,457,13
"Methuen","10","s",20,27,44,414,8
"Methuen","AL","e",8,31,48,3868,12
"Methuen","AL","m",19,31,28,3874,21
"Methuen","AL","s",8,41,30,1569,21
"Middleborough","03","e",9,37,47,245,7
"Middleborough","03","m",34,16,40,247,9
"Middleborough","04","e",4,45,36,277,14
"Middleborough","04","m",9,48,30,276,13
"Middleborough","05","e",12,27,50,278,10
"Middleborough","05","m",25,29,30,279,16
"Middleborough","05","s",19,39,31,278,11
"Middleborough","06","e",9,32,48,267,10
"Middleborough","06","m",14,41,31,266,15
"Middleborough","07","e",7,25,64,259,4
"Middleborough","07","m",10,33,28,260,28
"Middleborough","08","e",10,14,70,276,5
"Middleborough","08","m",5,39,28,276,29
"Middleborough","08","s",2,51,32,276,16
"Middleborough","10","e",40,8,52,216,0
"Middleborough","10","m",44,18,32,218,6
"Middleborough","10","s",26,34,38,197,2
"Middleborough","AL","e",12,27,53,1818,8
"Middleborough","AL","m",19,33,31,1822,17
"Middleborough","AL","s",15,42,33,751,10
"Middleton","03","e",25,15,56,99,4
"Middleton","03","m",47,14,36,98,3
"Middleton","04","e",19,27,52,95,2
"Middleton","04","m",26,28,41,95,4
"Middleton","05","e",22,19,53,129,5
"Middleton","05","m",43,13,39,128,5
"Middleton","05","s",24,26,48,128,2
"Middleton","06","e",29,11,59,117,1
"Middleton","06","m",64,8,28,117,0
"Middleton","AL","e",24,18,55,440,3
"Middleton","AL","m",46,15,36,438,3
"Middleton","AL","s",24,26,48,128,2
"Milford","03","e",11,35,47,343,7
"Milford","03","m",29,22,37,343,12
"Milford","04","e",6,42,38,305,14
"Milford","04","m",11,42,33,306,14
"Milford","05","e",26,27,39,313,8
"Milford","05","m",21,34,27,313,18
"Milford","05","s",24,36,31,313,9
"Milford","06","e",29,13,53,319,5
"Milford","06","m",29,21,38,320,12
"Milford","07","e",19,15,60,325,5
"Milford","07","m",18,29,40,326,13
"Milford","08","e",20,9,65,312,5
"Milford","08","m",14,29,41,314,17
"Milford","08","s",5,36,46,313,12
"Milford","10","e",46,3,48,264,3
"Milford","10","m",50,13,32,267,5
"Milford","10","s",25,22,49,247,4
"Milford","AL","e",22,21,50,2181,7
"Milford","AL","m",24,27,35,2189,13
"Milford","AL","s",18,32,42,873,8
"Millbury","03","e",16,24,53,144,6
"Millbury","03","m",30,19,43,145,8
"Millbury","04","e",10,29,51,96,9
"Millbury","04","m",29,30,32,141,9
"Millbury","05","e",17,20,55,143,8
"Millbury","05","m",33,22,33,144,12
"Millbury","05","s",34,20,38,144,8
"Millbury","06","e",15,20,58,143,6
"Millbury","06","m",31,20,38,143,10
"Millbury","07","e",11,32,52,123,6
"Millbury","07","m",19,24,32,123,26
"Millbury","08","e",6,11,81,126,2
"Millbury","08","m",12,30,49,126,9
"Millbury","08","s",2,44,44,126,9
"Millbury","10","e",32,8,59,106,1
"Millbury","10","m",48,14,32,105,6
"Millbury","10","s",20,27,48,97,5
"Millbury","AL","e",15,21,59,881,6
"Millbury","AL","m",28,23,37,927,11
"Millbury","AL","s",19,30,43,367,7
"Millis","03","e",5,32,62,111,1
"Millis","03","m",41,14,44,111,0
"Millis","04","e",7,38,46,114,10
"Millis","04","m",23,35,37,113,4
"Millis","05","e",12,29,52,119,8
"Millis","05","m",39,15,35,119,10
"Millis","05","s",18,34,40,119,8
"Millis","06","e",16,23,55,116,6
"Millis","06","m",22,25,41,116,11
"Millis","07","e",11,13,74,99,2
"Millis","07","m",7,45,34,100,14
"Millis","08","e",7,6,85,124,2
"Millis","08","m",14,34,42,126,10
"Millis","08","s",1,56,34,126,9
"Millis","10","e",52,3,45,102,0
"Millis","10","m",54,14,30,102,2
"Millis","10","s",19,19,60,98,1
"Millis","AL","e",15,21,60,785,4
"Millis","AL","m",29,26,38,787,7
"Millis","AL","s",12,38,44,343,6
"Milton","03","e",17,24,52,328,7
"Milton","03","m",49,13,34,328,4
"Milton","04","e",16,26,49,340,9
"Milton","04","m",26,24,46,339,4
"Milton","05","e",32,14,50,328,4
"Milton","05","m",50,16,29,326,5
"Milton","05","s",24,33,40,326,3
"Milton","06","e",28,12,57,306,4
"Milton","06","m",47,15,31,308,7
"Milton","07","e",16,9,72,293,2
"Milton","07","m",26,25,38,294,12
"Milton","08","e",19,8,68,307,5
"Milton","08","m",30,24,36,307,10
"Milton","08","s",5,38,42,305,15
"Milton","10","e",54,3,41,235,2
"Milton","10","m",71,8,19,235,2
"Milton","10","s",50,5,43,215,2
"Milton","AL","e",25,14,56,2137,5
"Milton","AL","m",42,18,34,2137,6
"Milton","AL","s",24,28,41,846,7
"Minuteman Regional Vocational Technical","10","e",23,14,62,168,1
"Minuteman Regional Vocational Technical","10","m",31,25,38,167,6
"Minuteman Regional Vocational Technical","10","s",19,25,46,143,10
"Minuteman Regional Vocational Technical","AL","e",23,14,62,168,1
"Minuteman Regional Vocational Technical","AL","m",31,25,38,167,6
"Minuteman Regional Vocational Technical","AL","s",19,25,46,143,10
"Mohawk Trail","03","e",17,13,67,52,2
"Mohawk Trail","03","m",31,18,47,51,4
"Mohawk Trail","04","e",12,30,52,69,6
"Mohawk Trail","04","m",17,43,33,70,7
"Mohawk Trail","05","e",14,24,57,72,6
"Mohawk Trail","05","m",27,32,37,71,4
"Mohawk Trail","05","s",20,35,37,71,8
"Mohawk Trail","06","e",9,24,60,58,7
"Mohawk Trail","06","m",19,35,35,57,11
"Mohawk Trail","07","e",7,29,60,89,4
"Mohawk Trail","07","m",16,30,36,89,18
"Mohawk Trail","08","e",9,16,69,86,6
"Mohawk Trail","08","m",9,39,33,89,19
"Mohawk Trail","08","s",0,57,29,90,14
"Mohawk Trail","10","e",41,6,50,78,3
"Mohawk Trail","10","m",63,13,21,80,4
"Mohawk Trail","10","s",23,19,55,75,4
"Mohawk Trail","AL","e",15,21,59,504,5
"Mohawk Trail","AL","m",26,30,34,507,10
"Mohawk Trail","AL","s",13,38,39,236,9
"Monomoy Regional School District","03","e",7,29,53,163,10
"Monomoy Regional School District","03","m",30,26,33,163,11
"Monomoy Regional School District","04","e",14,30,48,160,8
"Monomoy Regional School District","04","m",25,27,40,159,8
"Monomoy Regional School District","05","e",20,26,47,156,7
"Monomoy Regional School District","05","m",29,27,32,157,13
"Monomoy Regional School District","05","s",27,34,35,157,4
"Monomoy Regional School District","06","e",11,30,48,141,10
"Monomoy Regional School District","06","m",27,29,24,141,20
"Monomoy Regional School District","07","e",11,21,63,145,4
"Monomoy Regional School District","07","m",16,32,32,148,20
"Monomoy Regional School District","08","e",5,23,66,152,7
"Monomoy Regional School District","08","m",11,37,28,150,24
"Monomoy Regional School District","08","s",5,39,41,150,15
"Monomoy Regional School District","10","e",50,4,43,115,3
"Monomoy Regional School District","10","m",58,10,27,115,5
"Monomoy Regional School District","10","s",45,6,45,95,3
"Monomoy Regional School District","AL","e",16,24,53,1032,7
"Monomoy Regional School District","AL","m",27,27,31,1033,14
"Monomoy Regional School District","AL","s",23,30,40,402,8
"Monson","03","e",8,46,38,61,8
"Monson","03","m",19,31,48,62,2
"Monson","04","e",10,35,42,103,14
"Monson","04","m",9,42,36,107,12
"Monson","05","e",6,43,36,102,15
"Monson","05","m",21,32,21,103,25
"Monson","05","s",13,39,34,103,15
"Monson","06","e",15,20,57,92,9
"Monson","06","m",25,29,31,93,15
"Monson","07","e",6,22,63,97,9
"Monson","07","m",10,36,33,98,21
"Monson","08","e",9,8,74,117,9
"Monson","08","m",16,32,34,118,18
"Monson","08","s",1,44,44,118,11
"Monson","10","e",38,3,55,92,3
"Monson","10","m",47,14,31,93,8
"Monson","10","s",9,41,50,88,0
"Monson","AL","e",13,24,53,664,10
"Monson","AL","m",21,31,33,674,15
"Monson","AL","s",7,41,42,309,9
"Montachusett Regional Vocational Technical","10","e",22,5,73,364,0
"Montachusett Regional Vocational Technical","10","m",39,14,45,366,2
"Montachusett Regional Vocational Technical","10","s",15,25,59,351,1
"Montachusett Regional Vocational Technical","AL","e",22,5,73,364,0
"Montachusett Regional Vocational Technical","AL","m",39,14,45,366,2
"Montachusett Regional Vocational Technical","AL","s",15,25,59,351,1
"Mount Greylock","07","e",25,14,58,101,3
"Mount Greylock","07","m",34,19,39,101,9
"Mount Greylock","08","e",23,5,69,93,3
"Mount Greylock","08","m",21,29,35,92,15
"Mount Greylock","08","s",3,47,43,92,7
"Mount Greylock","10","e",56,2,41,85,0
"Mount Greylock","10","m",78,6,16,86,0
"Mount Greylock","10","s",29,15,55,78,0
"Mount Greylock","AL","e",34,8,57,279,2
"Mount Greylock","AL","m",43,18,30,279,8
"Mount Greylock","AL","s",15,32,49,170,4
"Mystic Valley Regional Charter (District)","03","e",11,39,49,124,1
"Mystic Valley Regional Charter (District)","03","m",35,25,32,124,8
"Mystic Valley Regional Charter (District)","04","e",5,50,41,116,4
"Mystic Valley Regional Charter (District)","04","m",16,41,32,116,12
"Mystic Valley Regional Charter (District)","05","e",8,31,56,115,5
"Mystic Valley Regional Charter (District)","05","m",42,26,25,115,7
"Mystic Valley Regional Charter (District)","05","s",11,41,38,115,10
"Mystic Valley Regional Charter (District)","06","e",26,21,50,121,2
"Mystic Valley Regional Charter (District)","06","m",46,18,32,121,3
"Mystic Valley Regional Charter (District)","07","e",12,7,80,110,1
"Mystic Valley Regional Charter (District)","07","m",21,23,45,110,12
"Mystic Valley Regional Charter (District)","08","e",10,8,81,107,0
"Mystic Valley Regional Charter (District)","08","m",10,33,50,107,7
"Mystic Valley Regional Charter (District)","08","s",1,59,26,107,14
"Mystic Valley Regional Charter (District)","10","e",60,1,39,105,0
"Mystic Valley Regional Charter (District)","10","m",79,8,13,105,0
"Mystic Valley Regional Charter (District)","10","s",47,13,40,105,0
"Mystic Valley Regional Charter (District)","AL","e",19,23,56,798,2
"Mystic Valley Regional Charter (District)","AL","m",35,25,33,798,7
"Mystic Valley Regional Charter (District)","AL","s",19,38,35,327,8
"Nahant","03","e",13,13,60,15,13
"Nahant","03","m",33,7,47,15,13
"Nahant","04","e",23,27,50,22,0
"Nahant","04","m",22,35,43,23,0
"Nahant","05","e",3,33,64,33,0
"Nahant","05","m",39,18,36,33,6
"Nahant","05","s",21,48,27,33,3
"Nahant","06","e",0,11,89,18,0
"Nahant","06","m",22,33,44,18,0
"Nahant","AL","e",9,24,65,88,2
"Nahant","AL","m",30,24,42,89,4
"Nahant","AL","s",21,48,27,33,3
"Nantucket","03","e",1,49,35,112,15
"Nantucket","03","m",7,36,29,112,29
"Nantucket","04","e",7,44,22,107,26
"Nantucket","04","m",5,50,21,107,24
"Nantucket","05","e",12,32,47,92,10
"Nantucket","05","m",19,35,35,93,10
"Nantucket","05","s",4,43,37,93,16
"Nantucket","06","e",13,28,47,126,12
"Nantucket","06","m",24,24,29,125,23
"Nantucket","07","e",4,27,65,100,4
"Nantucket","07","m",9,22,37,103,32
"Nantucket","08","e",14,21,63,112,3
"Nantucket","08","m",12,31,28,114,29
"Nantucket","08","s",6,39,39,114,16
"Nantucket","10","e",47,8,39,119,6
"Nantucket","10","m",40,18,31,118,12
"Nantucket","10","s",30,24,41,107,5
"Nantucket","AL","e",15,29,45,768,11
"Nantucket","AL","m",17,30,30,772,23
"Nantucket","AL","s",14,35,39,314,12
"Narragansett","03","e",8,35,40,40,18
"Narragansett","03","m",12,29,49,78,10
"Narragansett","04","e",7,43,39,97,10
"Narragansett","04","m",8,51,29,97,12
"Narragansett","05","e",7,44,33,54,15
"Narragansett","05","m",22,26,36,97,16
"Narragansett","05","s",11,38,43,96,8
"Narragansett","06","e",9,28,55,69,9
"Narragansett","06","m",34,18,40,109,7
"Narragansett","07","e",4,31,61,137,4
"Narragansett","07","m",9,32,38,137,21
"Narragansett","08","e",11,13,69,127,7
"Narragansett","08","m",23,31,30,127,17
"Narragansett","08","s",6,40,48,127,6
"Narragansett","10","e",43,4,50,101,3
"Narragansett","10","m",44,20,27,100,9
"Narragansett","10","s",25,17,55,95,3
"Narragansett","AL","e",13,26,53,625,8
"Narragansett","AL","m",21,30,35,745,14
"Narragansett","AL","s",14,32,48,318,6
"Nashoba","03","e",16,23,58,237,3
"Nashoba","03","m",47,13,37,237,4
"Nashoba","04","e",22,23,48,281,7
"Nashoba","04","m",29,25,42,281,5
"Nashoba","05","e",31,17,48,280,4
"Nashoba","05","m",43,17,33,278,6
"Nashoba","05","s",28,29,40,278,3
"Nashoba","06","e",17,11,67,256,5
"Nashoba","06","m",53,13,28,255,5
"Nashoba","07","e",19,8,71,274,1
"Nashoba","07","m",40,15,38,275,7
"Nashoba","08","e",20,6,72,282,2
"Nashoba","08","m",38,19,38,284,6
"Nashoba","08","s",7,34,53,285,6
"Nashoba","10","e",59,3,38,272,1
"Nashoba","10","m",74,6,18,270,2
"Nashoba","10","s",47,10,43,251,1
"Nashoba","AL","e",26,13,57,1882,3
"Nashoba","AL","m",46,15,33,1880,5
"Nashoba","AL","s",26,25,45,814,3
"Nashoba Valley Regional Vocational Technical","10","e",28,7,64,175,1
"Nashoba Valley Regional Vocational Technical","10","m",44,16,33,174,7
"Nashoba Valley Regional Vocational Technical","10","s",23,20,54,156,3
"Nashoba Valley Regional Vocational Technical","AL","e",28,7,64,175,1
"Nashoba Valley Regional Vocational Technical","AL","m",44,16,33,174,7
"Nashoba Valley Regional Vocational Technical","AL","s",23,20,54,156,3
"Natick","03","e",24,17,54,406,5
"Natick","03","m",50,12,33,403,6
"Natick","04","e",26,18,52,381,4
"Natick","04","m",38,24,35,380,3
"Natick","05","e",26,17,53,428,4
"Natick","05","m",47,19,27,427,7
"Natick","05","s",33,26,37,427,5
"Natick","06","e",26,12,59,434,3
"Natick","06","m",37,20,35,433,8
"Natick","07","e",22,10,66,384,2
"Natick","07","m",31,17,43,385,10
"Natick","08","e",17,8,71,397,3
"Natick","08","m",27,21,42,396,9
"Natick","08","s",6,38,51,394,6
"Natick","10","e",64,2,33,380,1
"Natick","10","m",69,5,23,382,3
"Natick","10","s",50,10,39,375,2
"Natick","AL","e",29,12,56,2810,3
"Natick","AL","m",43,17,34,2806,6
"Natick","AL","s",29,25,42,1196,4
"Nauset","06","e",23,15,59,172,3
"Nauset","06","m",39,20,32,173,9
"Nauset","07","e",20,10,66,202,3
"Nauset","07","m",19,22,44,204,16
"Nauset","08","e",28,6,65,189,2
"Nauset","08","m",31,17,48,190,4
"Nauset","08","s",7,33,56,187,4
"Nauset","10","e",63,0,35,225,2
"Nauset","10","m",63,6,28,231,3
"Nauset","10","s",45,18,36,212,1
"Nauset","AL","e",35,7,55,788,3
"Nauset","AL","m",39,16,38,798,8
"Nauset","AL","s",27,25,45,399,3
"Needham","03","e",15,19,64,412,2
"Needham","03","m",48,12,36,375,4
"Needham","04","e",17,26,53,401,3
"Needham","04","m",34,26,38,443,3
"Needham","05","e",28,14,54,356,4
"Needham","05","m",46,18,29,435,7
"Needham","05","s",26,31,37,435,6
"Needham","06","e",34,9,55,426,1
"Needham","06","m",54,13,29,423,4
"Needham","07","e",21,9,67,467,3
"Needham","07","m",36,14,44,466,7
"Needham","08","e",31,5,64,412,1
"Needham","08","m",38,18,36,414,8
"Needham","08","s",13,26,57,413,4
"Needham","10","e",68,3,29,415,1
"Needham","10","m",77,4,18,415,1
"Needham","10","s",49,8,43,409,1
"Needham","AL","e",31,12,55,2889,2
"Needham","AL","m",47,15,33,2971,5
"Needham","AL","s",29,22,45,1257,4
"Neighborhood House Charter (District)","03","e",0,52,36,44,11
"Neighborhood House Charter (District)","03","m",23,20,48,44,9
"Neighborhood House Charter (District)","04","e",8,46,31,39,15
"Neighborhood House Charter (District)","04","m",3,36,36,39,26
"Neighborhood House Charter (District)","05","e",20,34,46,41,0
"Neighborhood House Charter (District)","05","m",24,27,37,41,12
"Neighborhood House Charter (District)","05","s",22,37,39,41,2
"Neighborhood House Charter (District)","06","e",14,19,67,36,0
"Neighborhood House Charter (District)","06","m",33,25,36,36,6
"Neighborhood House Charter (District)","07","e",11,3,86,36,0
"Neighborhood House Charter (District)","07","m",14,31,56,36,0
"Neighborhood House Charter (District)","08","e",2,2,93,41,2
"Neighborhood House Charter (District)","08","m",7,37,51,41,5
"Neighborhood House Charter (District)","08","s",0,37,54,41,10
"Neighborhood House Charter (District)","AL","e",9,27,59,237,5
"Neighborhood House Charter (District)","AL","m",17,29,44,237,10
"Neighborhood House Charter (District)","AL","s",11,37,46,82,6
"New Bedford","03","e",5,47,36,1124,12
"New Bedford","03","m",17,30,39,1121,14
"New Bedford","04","e",4,47,26,1096,23
"New Bedford","04","m",9,47,24,1098,20
"New Bedford","05","e",5,40,39,904,15
"New Bedford","05","m",14,34,28,903,23
"New Bedford","05","s",9,46,26,903,19
"New Bedford","06","e",5,36,44,901,16
"New Bedford","06","m",15,36,27,899,22
"New Bedford","07","e",2,36,45,846,17
"New Bedford","07","m",5,31,19,863,45
"New Bedford","08","e",3,29,52,813,16
"New Bedford","08","m",6,35,18,808,41
"New Bedford","08","s",1,47,17,804,35
"New Bedford","10","e",12,26,54,564,8
"New Bedford","10","m",14,35,26,579,25
"New Bedford","10","s",4,42,32,518,22
"New Bedford","AL","e",5,39,41,6248,16
"New Bedford","AL","m",12,35,27,6271,26
"New Bedford","AL","s",5,45,24,2225,26
"New Salem-Wendell","03","e",18,55,27,22,0
"New Salem-Wendell","03","m",32,18,50,22,0
"New Salem-Wendell","04","e",29,43,29,14,0
"New Salem-Wendell","04","m",29,29,36,14,7
"New Salem-Wendell","05","e",10,24,62,21,5
"New Salem-Wendell","05","m",24,19,48,21,10
"New Salem-Wendell","05","s",14,48,33,21,5
"New Salem-Wendell","06","e",14,29,57,14,0
"New Salem-Wendell","06","m",50,14,36,14,0
"New Salem-Wendell","AL","e",17,38,44,71,1
"New Salem-Wendell","AL","m",32,20,44,71,4
"New Salem-Wendell","AL","s",14,48,33,21,5
"Newburyport","03","e",12,25,60,176,3
"Newburyport","03","m",27,19,49,176,5
"Newburyport","04","e",12,38,41,162,9
"Newburyport","04","m",13,45,35,159,7
"Newburyport","05","e",21,13,62,184,5
"Newburyport","05","m",39,17,35,185,9
"Newburyport","05","s",19,30,45,185,5
"Newburyport","06","e",23,11,62,159,4
"Newburyport","06","m",29,20,42,161,9
"Newburyport","07","e",24,9,64,196,3
"Newburyport","07","m",24,18,45,196,13
"Newburyport","08","e",25,3,68,182,4
"Newburyport","08","m",32,17,43,183,8
"Newburyport","08","s",9,41,45,182,5
"Newburyport","10","e",59,2,37,175,2
"Newburyport","10","m",72,6,18,179,5
"Newburyport","10","s",33,19,46,175,2
